timestamp, orientation_x, orientation_y, joystick_action, joystick_state, ball_x, ball_y, ball_z
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.0001603, 1.49991, -0.000190868
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000196401, 1.49993, -0.000227592
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000232524, 1.49994, -0.000264267
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.00026862, 1.49996, -0.000300937
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000304746, 1.49996, -0.000337597
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000340906, 1.49997, -0.000374217
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000377033, 1.49998, -0.000410913
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000413186, 1.49998, -0.000447631
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000449294, 1.49999, -0.000484316
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000485362, 1.49999, -0.000521012
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000521483, 1.49999, -0.000557667
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000557659, 1.49999, -0.000594301
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000593806, 1.49999, -0.000630954
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000629964, 1.5, -0.000667596
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000666137, 1.5, -0.000704246
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000702312, 1.5, -0.000740898
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000738494, 1.5, -0.000777571
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000774616, 1.5, -0.000814258
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000810735, 1.5, -0.000850979
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000846871, 1.5, -0.00088768
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.00088296, 1.5, -0.000924432
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000919125, 1.5, -0.000961082
